0 0 2 3 4 5 6 7 8 9 A B
B 2 H H H H H H H H H H
B 3 H H H H H H H H H H
B 4 H H H H H H H H H H
B 5 H H H H H H H H H H
B 6 H H H H H H H H H H
B 7 S S S S S S S H H H
B + S S S S S S S S S S
2 2 H H P P P P H H H H
3 3 H H P P P P H H H H
4 4 H H H H H H H H H H
5 5 H H H H H H H H H H
6 6 H P P P P H H H H H
7 7 P P P P P P H H H H
8 8 P P P P P P P P P P
9 9 P P P P P S P P S S
A A S S S S S S S S S S
B B P P P P P P P P P P
- 4 H H H H H H H H H H
- 5 H H H H H H H H H H
- 6 H H H H H H H H H H
- 7 H H H H H H H H H H
- 8 H H H H H H H H H H
- 9 H H H H H H H H H H
- A H H H H H H H H H H
- B H H H H H H H H H H
- C H H S S S H H H H H
- D S S S S S H H H H H
- E S S S S S H H H H H
- F S S S S S H H H H H
- G S S S S S H H H H H
- + S S S S S S S S S S
